alt title,title,lyrics,credits/comments,google drive link,youtube link,
,,לְךָ אָמַר לִבִּי בַּקְּשׁוּ פָנָי אֶת פָּנֶיךָ ה אֲבַקֵּֽשׁ,,,,
,,"לַכֹּל זְמָן וְעֵת ... תַּחַת הַשָּׁמָיִם עֵת לֶאֱהֹב
וְעֵת לִשְׂנֹא עֵת מִלְחָמָה וְעֵת שָׁלוֹם ",,,https://youtu.be/gACSLkh_tbY,
,,"לְמַעַנְךָ אֶלקֵינוּ עֲשֵׂה וְלא לָנוּ 
רְאֵה עֲמִידָתֵנוּ  דַּלִּים וְרֵקִים 
הַנְּשָׁמָה לָךְ וְהַגּוּף פָּעֳלָךְ 
חוּסָה עַל עֲמָלָךְ הַנְּשָׁמָה לָךְ ",,,https://youtu.be/c08WY2MNCH8,
,,"לְמַעַן אַחַי וְרֵעָי אֲדַבְּרָה נָּא שָׁלוֹם בָּךְ 
לְמַעַן בֵּית ה׳ אֱלוֹהֵינוּ אֲבַקְשָׁה טוֹב לָךְ",,,https://youtu.be/OIBdca-t-_M,
,,"לְעוֹלָם יְהֵא אָדָם  יְרֵא שָמַים
טַאטֶע טַאטֶע טַאטֶע אִיך וִויל זַיין 
אוי אִיך וִויל זַיין אַ יְרֵא שָמַים",,,https://youtu.be/cKBalZFrfTE,
,,"מְהֵרָה, הַ׳ אֶלקֵינוּ
עוֹד יִשָּׁמַע בְּעָרֵי יְהוּדָה
וּבְחֻצוֹת יְרוּשָׁלָֽיִם
קוֹל שָׂשׂוֹן וְקוֹל שִׂמְחָה
קוֹל חָתָן וְקוֹל כַּלָּה
קוֹל מִצְהֲלוֹת חֲתָנִים מֵחֻפָּתָם
וּנְעָרִים מִמִּשְׁתֵּה נְגִינָתָם",,,,
,,"מִי בַן שִיחַ שׁוֹשַׁן חוֹחִים 
אַהַבַת כַּלָה מֽשׂוֹשׂ דוֹדִים 
הוּא יְבָרֵך אֶת הֶחָתָן וֽאֶת הַכַּלָה",,,,
,,"מַכְנִיסֵי רַחֲמִים הַכְנִיסוּ רַחֲמֵינוּ 
לִפְנֵי בַּעַל הָרַחֲמִים 
מַשְׁמִיעֵי תְפִלָּה הַשְׁמִיעוּ תְפִלָּתֵנוּ 
לִפְנֵי שׁוֹמֵעַ תְּפִלָּה 
מַשְׁמִיעֵי צְעָקָה הַשְׁמִיעוּ צַעֲקָתֵנוּ 
לִפְנֵי שׁוֹמֵעַ צְעָקָה 
מַכְנִיסֵי דִּמְעָה הַכְנִיסוּ דִמְעוֹתֵינוּ 
לִפְנֵי מֶלֶךְ מִתְרַצֶּה בִּדְמָעוֹת 
הִשְׁתַּדְּלוּ וְהַרְבּוּ תְּחִנָּה וּבַקָּשָׁה 
לִפְנֵי מֶלֶךְ קֵל רָם וְנִשָּׂא",mbd,,https://youtu.be/yonpaLGsovw,
,,"מִמְּקוֹמְךָ מַלְכֵּנוּ תּוֹפִיעַ 
וְתִמְלוֹךְ עָלֵינוּ כִּי מְחַכִּים אֲנַחְנוּ לָךְ 
מָתַי תִּמְלךְ בְּצִיּוֹן בְּקָרוֹב בְּיָמֵינוּ 
לְעוֹלָם וָעֶד תִּשְׁכּוֹן תִּתְגַּדַּל וְתִתְקַדַּשׁ 
בְּתוֹךְ יְרוּשָׁלַיִם עִירְךָ",,,https://youtu.be/eYBXusKQ7Ws,
,,"מִקֹּלוֹת מַיִם רַבִּים אַדִּירִים
מִשְׁבְּרֵי יָם אַדִּיר בַּמָּרוֹם ה'",,,https://youtu.be/V3TlK9i-Y0k,
,,"מַשְׂכִּיל לְדָוִד בִּהְיוֹתוֹ בַמְּעָרָה תְּפִלָּה
קוֹלִי אֶל־ה אֶזְעָק קוֹלִי אֶל־ה אֶתְחַנָּן 
אֶשְׁפֹּךְ לְפָנָיו שִׂיחִי צָרָתִי לְפָנָיו אַגִּיד",,,https://youtu.be/ows8Vz3dpOs,
,,"נָעַר הַיִיתִי וְגַם זַקָנְתִי 
וְלֹא רָאִיתִי צָדִיק נֶעֶזָב
וְזָרְעוֹ מְבַקֵש לַחֶם
ה' עֹז לְעַמוֹ יִתֵן
ה' יְבַרֵך אֶת עַמוֹ בַשָלוֹם",,,https://youtu.be/X5dUlOEq3dk,
,,"נַפְשִׁי נַפְשִׁי חָמְדָה בְּצֵל יָדֶךָ
אוֹי לָדַעַת כָּל רָז סוֹדֶךָ 
יֶעֱרַב נָא שִֹיחִי עָלֶיךָ
כִּי נַפְשִׁי תַעֲרֹג אֵלֶיךָ ",,,https://youtu.be/-6hnYAEUV2M,
,,"נְקַדֵּשׁ אֶת־שִׁמְךָ בָּעוֹלָם 
כְּשֵׁם שֶׁמַּקְדִּישִׁים אוֹתוֹ בִּשְׁמֵי מָרוֹם
יִמְלֹךְ ה' לְעוֹלָם אֱלֹקיִךְ צִיּוֹן 
לְדֹר וָדֹר הַלְלוּקהּ וְאַתָּה קָדוֹשׁ 
יוֹשֵׁב תְּהִלּוֹת יִשְׂרָאֵל. קל נָא ",,,https://youtu.be/3osiYh1UYU4,
,,"נִשְׁמַת כָּל חַי תְּבַרֵךְ אֶת שִׁמְךָ ה' אֱלֹקינוּ וְרוּחַ כָּל בָּשָׂר תְּפָאֵר וּתְרוֹמֵם 
זִכְרְךָ  מַלְכֵּנוּ  תָמִיד 
מִן הָעוֹלָם וְעַד הָעוֹלָם אַתָּה אֵ-ל 
וּמִבַּלְעָדֶיךָ אֵין לָנוּ מֶלֶךְ גּוֹאֵל וּמוֹשִיעַ ",,,,
,,עִבְדוּ אֶת-ה׳ בְּשִׂמְחָה בֹּאוּ לְפָנָיו בִּרְנָנָה כִּי־טוֹב ה׳ לְעוֹלָם חַסְדּוֹ וְעַד־דֹּר וָדֹר אֱמוּנָתוֹ ,,,https://youtu.be/8NgRvZGMaVg,Shalsheles
,,"עוֹד יֵשְׁבוּ זְקֵנִים וּזְקֵנוֹת .בִּרְחֹבוֹת יְרוּשָׁלָיִם
וְאִישׁ מִשְׁעַנְתּוֹ בְּיָדוֹ .מֵרֹב  מֵרֹב יָמִים
וּרְחֹבוֹת הָעִיר יִמָּלְאוּ, יְלָדִים וִילָדוֹת מְשַׂחֲקִים
בִּרְחֹבֹתֶיהָ ",,,https://youtu.be/O0UhvvKIpFE,
,,"עָלַץ לִבִּי  לִבִּי בַּהַ רָמָה קַרְנִי בַּהַ 
רָחַב פִּי עַל אוֹיְבַי .כִּי שָׂמַחְתִּי  בִּישׁוּעָתֶךָ
אֵין קָדוֹשׁ כַּהַ כִּי אֵין  בִּלְתֶּךָ
וְאֵין צוּר וְאֵין צוּר.כֵּאלֹקֵינוּ",,,https://youtu.be/ujXBAxiB4Q4,
,,"פִּיהָ פָּתְחָה בְחׇכְמָה וְתוֹרַת חֶסֶד עַל־לְשׁוֹנָהּ
צוֹפִיָּה הֲלִיכוֹת בֵּיתָהּ וְלֶחֶם עַצְלוּת לֹא תֹאכֵל
קָמוּ בָנֶיהָ וַיְאַשְּׁרוּהָ בַּעְלָהּ וַיְהַלְלָהּ
רַבּוֹת בָּנוֹת עָשׂוּ חָיִל וְאַתְּ עָלִית עַל־כֻּלָּנָה",,,https://youtu.be/VWD7Rss8hGk,
,,"פְּנֵי לְעֶלבּוֹן מְקוֹם עָוֹן לְהָשִׂים
צַחַן הָסֵר וְגַם תְּבַשֵׂר לְבָך חוֹסִים – סָלַחתִּי
קוֹלִי שְׁמַע  וּרְאֵה דֶּמַע  עֵינִי 
רִיב רִיבִי  שְׁעֵה נִיבִי וַהֲשִׁיבֵנִי סָלַחְתִּי",,,https://youtu.be/dqyN9QJr7Ho,
,,צָמְאָה לְךָ נַפְשִׁי כָּמַהּ לְךָ בְּשָׂרִי,,,,
,,"צָמְאָה נַפְשִׁי לֵאלֹקים לְקֵל חָי
לִבִּי וּבְשָׂרִי יְרַנְּנוּ לְקֵל חָי",,,,
,,קוֹל בְּרָמָה נִשְׁמָע רָחֵל מְבַכָּה עַל בָּנֶיהָ,,,"https://youtu.be/_J3pY2LuNY4, https://youtu.be/izVKiUjGXSw,","dveykus, simcha leiner"
,,"קוֹלִי שְׁמַע  וּרְאֵה דֶּמַע  עֵינִי 
רִיב רִיבִי  שְׁעֵה נִיבִי וַהֲשִׁיבֵנִי סָלַחְתִּי",,,https://youtu.be/Q6UtlTXNIVI,Yeshiva Boys Choir
,,"רִבּוֹן הָעוֹלָמִים יָדַעתִּי 
כִּי הִנְנִי בְּיָדךָ לְבַד 
כַּחוֹמֵר בְּיַד הַיוֹצֵר 
וְאִם גַם אֶתַאמֵץ בְעֵצוֹת וְתחַבְוּלוֹת 
וְכֹל יוֹשבֵי תֵבֵל יְעָמדוֹ לִימִינִי 
לְהוֹשִיעֵנִי וְלִסמוֹך נַפשִי 
מִבַּלַעדַי עוּזךָ וֽעֶזרָתךָ
אֵין אֵין אֵין עֶזרָה וְיְשוּעָה ",,,https://youtu.be/LYtBfTpGcQ8,Avraham Fried
,,"רִבּוֹן כָּל הָעוֹלָמִים לֹא עַל צִדְקוֹתֵינוּ 
אֲנַחְנוּ מַפִּילִים תַּחֲנוּנֵינוּ לְפָנֶיךָ 
כִּי עַל רַחֲמֶיךָ הָרַבִּים ",,,https://youtu.be/Uxa_WOx0rJQ,
,,"רִבּוֹנוֹ שֶׁל עוֹלָם, יְהִי רָצוֹן מִלְּפָנֶיךָ 
קֵל רַחוּם וְחַנוּן שֶׁתְּזַכֵּנִי הַיוֹם וּבְכָל יוֹם 
לִשְׁמוֹר פִּי וּלְשׁוֹנִי מִלָּשׁוֹן הָרַע וּרְכִילוּת. 
וְיִהְיוּ כָל מַעֲשַׂי וְדִבּוּרַי לְשֵׁם שָׁמַיִם",,,https://youtu.be/MAwOfNi1HTA,
,,"רַחֵם בְּחַסְדֶּךָ עַל עַמְּךָ צוּרֵנוּ 
עַל צִיּוֹן מִשְׁכַּן כְּבוֹדֶךָ בֶּן־דָּוִד עַבְדֶּךָ
יָבֹא וְיִגְאָלֵנוּ רוּחַ אַפֵּינוּ מְשִׁיחַ ה׳ ",,,,
,,"רַחֲמָנָא דְעָנֵי דְעָנֵי לַעֲנִיֵּי 
רַחֲמָנָא דְעָנֵי  לִתְבִירֵי לִבָּא עֲנֵינָא ",benny friedman,,https://youtu.be/4R4dSEQUgWQ,
,,"שָׁלוֹם רָב לְאֹהֲבֵי תוֹרָתֶךָ וְאֵֽין־לָמוֹ מִכְשֽׁוֹל
שִׂבַּרְתִּי לִישׁוּעָתְךָ ה וּֽמִצְותֶיךָ עָשִֽׂיתִי׃ 
שָֽׁמְרָה נַפְשִׁי עֵדֹתֶיךָ וָאֹהֲבֵם מְאֹֽד",,,"https://youtu.be/6vM3IedTPvA,https://youtu.be/g1AeNQpeFn0,",
,,שִׁפְכִי כַּמַיִם לִיבֵּך נוֹכַח פְּנֵי ה ,,,https://youtu.be/Sncu_SkljVU,
,,"תְּפִילָה לְעָנִי כִּי יַעַטֹף וְלִפנֵי ה׳ יְשׁפֹּך שִיחוֹ 
ה׳ שְמָעָה תְּפִילָתִי וְשַׁועָתִי אֵלֶיךָ תָּבוֹא
אַל תַּסתֶּר פָּנֶיךָ מִמֶנִי בְּיוֹם צַר לִי",,,https://youtu.be/BAN-pW2nOpc,
