Search title,title,lyrics,credits/comments,google drive link/embedded file,youtube link
,,"כֶּתֶר יִתְּנוּ לְךָ  ה' אֱלֹקינוּ
מַלְאָכִים הֲמוֹנֵי מַעְלָה 
עִם עַמְּךָ יִשְׂרָאֵל קְבוּצֵי מַטָּה
יַחַד כֻּלָּם קְדֻשָּׁה לְךָ יְשַׁלֵּשׁוּ",Isaac Honig,,https://youtu.be/sUJ_5DjSSpc
,,"לֵב טָהוֹר  בְּרָא-לִי אֱלֹקים
 וְרוּחַ נָכוֹן  חַדֵּשׁ בְּקִרְבִּי
 אַל-תַּשְׁלִיכֵנִי מִלְּפָנֶיךָ
 וְרוּחַ קָדְשְׁךָ אַל-תִּקַּח מִמֶּנִּי",,,?
,,לוּלֵי תוֹרָתְךָ שַׁעֲשֻׁעָי אָז אָבַדְתִּי בְעָנְיִֽ,,,https://youtu.be/9Xu1CD83bjw
,,לְךָ אָמַר לִבִּי בַּקְּשׁוּ פָנָי אֶת פָּנֶיךָ ה אֲבַקֵּֽשׁ,,,?
,,"לַכֹּל זְמָן וְעֵת ... תַּחַת הַשָּׁמָיִם עֵת לֶאֱהֹב
וְעֵת לִשְׂנֹא עֵת מִלְחָמָה וְעֵת שָׁלוֹם ",,,https://youtu.be/gACSLkh_tbY
,,"לְמַעַנְךָ אֶלקֵינוּ עֲשֵׂה וְלא לָנוּ 
רְאֵה עֲמִידָתֵנוּ  דַּלִּים וְרֵקִים 
הַנְּשָׁמָה לָךְ וְהַגּוּף פָּעֳלָךְ 
חוּסָה עַל עֲמָלָךְ הַנְּשָׁמָה לָךְ ",,,https://youtu.be/c08WY2MNCH8
,,"לְמַעַן אַחַי וְרֵעָי אֲדַבְּרָה נָּא שָׁלוֹם בָּךְ 
לְמַעַן בֵּית ה׳ אֱלוֹהֵינוּ אֲבַקְשָׁה טוֹב לָךְ",,,https://youtu.be/OIBdca-t-_M
,,"לְעוֹלָם יְהֵא אָדָם  יְרֵא שָמַים
טַאטֶע טַאטֶע טַאטֶע אִיך וִויל זַיין 
אוי אִיך וִויל זַיין אַ יְרֵא שָמַים",,,https://youtu.be/cKBalZFrfTE
,,,,,"https://youtu.be/wyWKRPNTlkA?t=34, https://youtu.be/EYclGW5S4dE,"
,,"מְהֵרָה, הַ׳ אֶלקֵינוּ
עוֹד יִשָּׁמַע בְּעָרֵי יְהוּדָה
וּבְחֻצוֹת יְרוּשָׁלָֽיִם
קוֹל שָׂשׂוֹן וְקוֹל שִׂמְחָה
קוֹל חָתָן וְקוֹל כַּלָּה
קוֹל מִצְהֲלוֹת חֲתָנִים מֵחֻפָּתָם
וּנְעָרִים מִמִּשְׁתֵּה נְגִינָתָם",,,
,,"מִי בַן שִיחַ שׁוֹשַׁן חוֹחִים 
אַהַבַת כַּלָה מֽשׂוֹשׂ דוֹדִים 
הוּא יְבָרֵך אֶת הֶחָתָן וֽאֶת הַכַּלָה",,,
,,"מַכְנִיסֵי רַחֲמִים הַכְנִיסוּ רַחֲמֵינוּ 
לִפְנֵי בַּעַל הָרַחֲמִים 
מַשְׁמִיעֵי תְפִלָּה הַשְׁמִיעוּ תְפִלָּתֵנוּ 
לִפְנֵי שׁוֹמֵעַ תְּפִלָּה 
מַשְׁמִיעֵי צְעָקָה הַשְׁמִיעוּ צַעֲקָתֵנוּ 
לִפְנֵי שׁוֹמֵעַ צְעָקָה 
מַכְנִיסֵי דִּמְעָה הַכְנִיסוּ דִמְעוֹתֵינוּ 
לִפְנֵי מֶלֶךְ מִתְרַצֶּה בִּדְמָעוֹת 
הִשְׁתַּדְּלוּ וְהַרְבּוּ תְּחִנָּה וּבַקָּשָׁה 
לִפְנֵי מֶלֶךְ קֵל רָם וְנִשָּׂא",mbd,,https://youtu.be/yonpaLGsovw
,,"מִמְּקוֹמְךָ מַלְכֵּנוּ תּוֹפִיעַ 
וְתִמְלוֹךְ עָלֵינוּ כִּי מְחַכִּים אֲנַחְנוּ לָךְ 
מָתַי תִּמְלךְ בְּצִיּוֹן בְּקָרוֹב בְּיָמֵינוּ 
לְעוֹלָם וָעֶד תִּשְׁכּוֹן תִּתְגַּדַּל וְתִתְקַדַּשׁ 
בְּתוֹךְ יְרוּשָׁלַיִם עִירְךָ",,,https://youtu.be/eYBXusKQ7Ws
,,"מִקֹּלוֹת מַיִם רַבִּים אַדִּירִים
מִשְׁבְּרֵי יָם אַדִּיר בַּמָּרוֹם ה'",,,https://youtu.be/V3TlK9i-Y0k
,,"מַשְׂכִּיל לְדָוִד בִּהְיוֹתוֹ בַמְּעָרָה תְּפִלָּה
קוֹלִי אֶל־ה אֶזְעָק קוֹלִי אֶל־ה אֶתְחַנָּן 
אֶשְׁפֹּךְ לְפָנָיו שִׂיחִי צָרָתִי לְפָנָיו אַגִּיד",,,https://youtu.be/ows8Vz3dpOs
,,"נָעַר הַיִיתִי וְגַם זַקָנְתִי 
וְלֹא רָאִיתִי צָדִיק נֶעֶזָב
וְזָרְעוֹ מְבַקֵש לַחֶם
ה' עֹז לְעַמוֹ יִתֵן
ה' יְבַרֵך אֶת עַמוֹ בַשָלוֹם",,,https://youtu.be/X5dUlOEq3dk
,,"נַפְשִׁי נַפְשִׁי חָמְדָה בְּצֵל יָדֶךָ
אוֹי לָדַעַת כָּל רָז סוֹדֶךָ 
יֶעֱרַב נָא שִֹיחִי עָלֶיךָ
כִּי נַפְשִׁי תַעֲרֹג אֵלֶיךָ ",,,https://youtu.be/-6hnYAEUV2M
,,"נְקַדֵּשׁ אֶת־שִׁמְךָ בָּעוֹלָם 
כְּשֵׁם שֶׁמַּקְדִּישִׁים אוֹתוֹ בִּשְׁמֵי מָרוֹם
יִמְלֹךְ ה' לְעוֹלָם אֱלֹקיִךְ צִיּוֹן 
לְדֹר וָדֹר הַלְלוּקהּ וְאַתָּה קָדוֹשׁ 
יוֹשֵׁב תְּהִלּוֹת יִשְׂרָאֵל. קל נָא ",,,https://youtu.be/3osiYh1UYU4
,,"נִשְׁמַת כָּל חַי תְּבַרֵךְ אֶת שִׁמְךָ ה' אֱלֹקינוּ וְרוּחַ כָּל בָּשָׂר תְּפָאֵר וּתְרוֹמֵם 
זִכְרְךָ  מַלְכֵּנוּ  תָמִיד 
מִן הָעוֹלָם וְעַד הָעוֹלָם אַתָּה אֵ-ל 
וּמִבַּלְעָדֶיךָ אֵין לָנוּ מֶלֶךְ גּוֹאֵל וּמוֹשִיעַ ",,,?
,,עִבְדוּ אֶת-ה׳ בְּשִׂמְחָה בֹּאוּ לְפָנָיו בִּרְנָנָה כִּי־טוֹב ה׳ לְעוֹלָם חַסְדּוֹ וְעַד־דֹּר וָדֹר אֱמוּנָתוֹ ,,,https://youtu.be/8NgRvZGMaVg
,,"עוֹד יֵשְׁבוּ זְקֵנִים וּזְקֵנוֹת .בִּרְחֹבוֹת יְרוּשָׁלָיִם
וְאִישׁ מִשְׁעַנְתּוֹ בְּיָדוֹ .מֵרֹב  מֵרֹב יָמִים
וּרְחֹבוֹת הָעִיר יִמָּלְאוּ, יְלָדִים וִילָדוֹת מְשַׂחֲקִים
בִּרְחֹבֹתֶיהָ ",,,https://youtu.be/O0UhvvKIpFE
,,"עָלַץ לִבִּי  לִבִּי בַּהַ רָמָה קַרְנִי בַּהַ 
רָחַב פִּי עַל אוֹיְבַי .כִּי שָׂמַחְתִּי  בִּישׁוּעָתֶךָ
אֵין קָדוֹשׁ כַּהַ כִּי אֵין  בִּלְתֶּךָ
וְאֵין צוּר וְאֵין צוּר.כֵּאלֹקֵינוּ",,,https://youtu.be/ujXBAxiB4Q4
,,"פִּיהָ פָּתְחָה בְחׇכְמָה וְתוֹרַת חֶסֶד עַל־לְשׁוֹנָהּ
צוֹפִיָּה הֲלִיכוֹת בֵּיתָהּ וְלֶחֶם עַצְלוּת לֹא תֹאכֵל
קָמוּ בָנֶיהָ וַיְאַשְּׁרוּהָ בַּעְלָהּ וַיְהַלְלָהּ
רַבּוֹת בָּנוֹת עָשׂוּ חָיִל וְאַתְּ עָלִית עַל־כֻּלָּנָה",,,https://youtu.be/VWD7Rss8hGk
,,"פְּנֵי לְעֶלבּוֹן מְקוֹם עָוֹן לְהָשִׂים
צַחַן הָסֵר וְגַם תְּבַשֵׂר לְבָך חוֹסִים – סָלַחתִּי
קוֹלִי שְׁמַע  וּרְאֵה דֶּמַע  עֵינִי 
רִיב רִיבִי  שְׁעֵה נִיבִי וַהֲשִׁיבֵנִי סָלַחְתִּי",,,https://youtu.be/dqyN9QJr7Ho
,,צָמְאָה לְךָ נַפְשִׁי כָּמַהּ לְךָ בְּשָׂרִי,,,?
,,"צָמְאָה נַפְשִׁי לֵאלֹקים לְקֵל חָי
לִבִּי וּבְשָׂרִי יְרַנְּנוּ לְקֵל חָי",,,?
,,קוֹל בְּרָמָה נִשְׁמָע רָחֵל מְבַכָּה עַל בָּנֶיהָ,,,"https://youtu.be/_J3pY2LuNY4, https://youtu.be/izVKiUjGXSw,"
,,"קוֹלִי שְׁמַע  וּרְאֵה דֶּמַע  עֵינִי 
רִיב רִיבִי  שְׁעֵה נִיבִי וַהֲשִׁיבֵנִי סָלַחְתִּי",,,https://youtu.be/Q6UtlTXNIVI
,,"רִבּוֹן הָעוֹלָמִים יָדַעתִּי 
כִּי הִנְנִי בְּיָדךָ לְבַד 
כַּחוֹמֵר בְּיַד הַיוֹצֵר 
וְאִם גַם אֶתַאמֵץ בְעֵצוֹת וְתחַבְוּלוֹת 
וְכֹל יוֹשבֵי תֵבֵל יְעָמדוֹ לִימִינִי 
לְהוֹשִיעֵנִי וְלִסמוֹך נַפשִי 
מִבַּלַעדַי עוּזךָ וֽעֶזרָתךָ
אֵין אֵין אֵין עֶזרָה וְיְשוּעָה ",,,https://youtu.be/LYtBfTpGcQ8
,,"רִבּוֹן כָּל הָעוֹלָמִים לֹא עַל צִדְקוֹתֵינוּ 
אֲנַחְנוּ מַפִּילִים תַּחֲנוּנֵינוּ לְפָנֶיךָ 
כִּי עַל רַחֲמֶיךָ הָרַבִּים ",,,https://youtu.be/Uxa_WOx0rJQ
,,"רִבּוֹנוֹ שֶׁל עוֹלָם, יְהִי רָצוֹן מִלְּפָנֶיךָ 
קֵל רַחוּם וְחַנוּן שֶׁתְּזַכֵּנִי הַיוֹם וּבְכָל יוֹם 
לִשְׁמוֹר פִּי וּלְשׁוֹנִי מִלָּשׁוֹן הָרַע וּרְכִילוּת. 
וְיִהְיוּ כָל מַעֲשַׂי וְדִבּוּרַי לְשֵׁם שָׁמַיִם",,,https://youtu.be/MAwOfNi1HTA
,,"רַחֵם בְּחַסְדֶּךָ עַל עַמְּךָ צוּרֵנוּ 
עַל צִיּוֹן מִשְׁכַּן כְּבוֹדֶךָ בֶּן־דָּוִד עַבְדֶּךָ
יָבֹא וְיִגְאָלֵנוּ רוּחַ אַפֵּינוּ מְשִׁיחַ ה׳ ",,,
,,"רַחֲמָנָא דְעָנֵי דְעָנֵי לַעֲנִיֵּי 
רַחֲמָנָא דְעָנֵי  לִתְבִירֵי לִבָּא עֲנֵינָא ",benny friedman,,https://youtu.be/4R4dSEQUgWQ
,,"שָׁלוֹם רָב לְאֹהֲבֵי תוֹרָתֶךָ וְאֵֽין־לָמוֹ מִכְשֽׁוֹל
שִׂבַּרְתִּי לִישׁוּעָתְךָ ה וּֽמִצְותֶיךָ עָשִֽׂיתִי׃ 
שָֽׁמְרָה נַפְשִׁי עֵדֹתֶיךָ וָאֹהֲבֵם מְאֹֽד",,,"https://youtu.be/6vM3IedTPvA,https://youtu.be/g1AeNQpeFn0,"
,,שִׁפְכִי כַּמַיִם לִיבֵּך נוֹכַח פְּנֵי ה ,,,https://youtu.be/Sncu_SkljVU
,,"תְּפִילָה לְעָנִי כִּי יַעַטֹף וְלִפנֵי ה׳ יְשׁפֹּך שִיחוֹ 
ה׳ שְמָעָה תְּפִילָתִי וְשַׁועָתִי אֵלֶיךָ תָּבוֹא
=======
=======
>>>>>>> Stashed changes
"Avinu Av Harachaman, אָבִֽינוּ אָב הָרַחֲמָן",,"אָבִֽינוּ אָב הָרַחֲמָן<br>
הַמְרַחֵם רַחֵם עָלֵֽינוּ <br>
(טאַטֶע, אוֹי טאַטֶע)<br>
וְתֵן בְּלִבֵּנוּ בִּינָה<br>
לְהָבִין וּלְהַשְׂכִּיל<br>
לִשְׁמוֹעַלִ לְמוֹד וּלְלַמֵּד<br>
לִשְׁמוֹר  וְלַעֲשׂוֹת <br>
וּלְקַיֵּם אֶת כָּל דִּבְרֵי<br>
תַלְמוּד תּוֹרָתֶךָ בְּאַהֲבָה<br>",,,"https://www.youtube.com/watch?v=zV_GSoaOJFo, https://www.youtube.com/watch?v=-DACmtfohHE"
"avinu malkeinu ein lanu melech,אָבִינוּ מַלְכֵּנוּ אֵין לָנוּ מֶלֶךְ",,אָבִינוּ מַלְכֵּנוּ אֵין לָנוּ מֶלֶךְ אֶלָּא אָתָּה,,,https://youtu.be/I5Z_D97X24g?t=76
Acheinu,,"אַחֵינוּ כָּל בֵּית יִשְׂרָאֵל, <br>
הַנְּתוּנִים בְּצָרָה וּבַשִּׁבְיָה, <br>
הָעוֹמְדִים בֵּין בַּיָּם וּבֵין בַּיַּבָּשָׁה,<br> 
הַמָּקוֹם יְרַחֵם עֲלֵיהֶם<br>
וְיוֹצִיאֵם מִצָּרָה לִרְוָחָה<br>
וּמֵאֲפֵלָה לְאוֹרָה, <br>
וּמִשִּׁעְבּוּד לִגְאֻלָּה, <br>
הַשְׁתָּא בַּעֲגָלָא וּבִזְמַן קָרִיב.. ",,,https://youtu.be/q4PxCtN5BgE
Ilan Ilan,,"אִילָן אִילָן בַּמָּה אֲבָרֶכְךָ <br>
שֶׁיְּהוּ פֵּירוֹתֶיךָ מְתוּקִין<br>
הֲרֵי פֵּירוֹתֶיךָ מְתוּקִין<br>
שֶׁיְּהֵא צִילְּךָ נָאֶה<br>
הֲרֵי צִילְּךָ נָאֶה<br>
אֶלָּא יְהִי רָצוֹן <br>
שֶׁכׇּל נְטִיעוֹת<br>
שֶׁנּוֹטְעִין מִמְּךָ יִהְיוּ כְּמוֹתְךָ<br>",,,"https://www.youtube.com/watch?v=pSiwTwYYO94&pp=ygUJaWxhbiBpbGFu, https://youtu.be/VUaAAj3t_HU"
Ein Aroch,,"אֵין עֲרוֹךְ לְךָ, וְאֵין זוּלָתֶֽךָ<br>
אֶֽפֶס בִּלְתֶּֽךָ, וּמִי דּֽוֹמֶה לָּךְ<br>
אֵין עֲרוֹךְ לְךָ, הַ׳ אֱלֹקינוּ, בָּעוֹלָם הַזֶּה<br>
 וְאֵין זוּלָתְךָ מַלְכֵּֽנוּ לְחַיֵּי הָעוֹלָם הַבָּא<br>",,,"https://www.youtube.com/watch?v=eTBqH3QlTJQ, https://www.youtube.com/watch?v=qlpj_7qXmlY&pp=ygUPZWluIGFyb2NoIGxlY2hh"
"Proik, Prok",,"אֱלָהָא דִּי לֵהּ יְקַר וּרְבוּתָא<br>
פְּרוֹק יַת עָנָךְ מִפּוּם אַרְיְוָתָא<br>
וְאַפֵּיק יַת עַמֵּךְ מִגּוֹ גָלוּתָ<br>
עַמֵּךְ דִּי בְחַרְתְּ מִכָּל אֻמַּיָּא<br>",,,"https://www.youtube.com/watch?v=medQfTWMs8Q, https://www.youtube.com/watch?v=DLVLnKaSt1Q"
Eilecha,,"אֵלֶיךָ ה' אֶקְרָא; וְאֶל- ה', אֶתְחַנָּנ<br>
שְׁמַע-ה' וְחָנֵּנִי; ה' הֱיֵה-עֹזֵר לִי <br>",,,https://www.youtube.com/watch?v=WvH3CdtkgQ0
Elokai ,,"אֱלקי נְשָׁמָה שֶׁנָּתַתָּ בִּי טְהורָה הִיא<br>
אַתָּה בְרָאתָהּ, אַתָּה יְצַרְתָּהּ<br>
אַתָּה נְפַחְתָּהּ בִּי וְאַתָּה מְשַׁמְּרָהּ בְּקִרְ<br>
בִּי וְאַתָּה עָתִיד לִטְּלָהּ מִמֶּנִּי<br>
וּלְהַחֲזִירָהּ בִּי לֶעָתִיד לָבוֹא",Baruch Levine,,https://www.youtube.com/watch?v=1a2oVRiiwyE
Al Tira,,"אַל תִּירָא כִּי יַעֲשִׁר אִישׁ<br>
כִּי יִרְבֶּה כְּבוֹד בֵּיתוֹ. <br>
כִּי לֹא בְמוֹתוֹ יִקַּח הַכֹּל <br>
לֹא יֵרֵד אַחֲרָיו כְּבוֹדוֹ",Miami,,https://www.youtube.com/watch?v=1a2oVRiiwyE
Im Eshkochech,,"אִם אֶשְׁכָּחֵךְ יְרוּשָׁלָיִם, תִּשְׁכַּח יְמִינִי.<br> 
תִּדְבַּק לְשׁוֹנִי לְחִכִּי אִם לֹא אֶזְכְּרֵכִי, <br>
אִם לֹא אַעֲלֶה אֶת יְרוּשָׁלַֽיִם<br>
עַל רֹאשׁ שִׂמְחָתִי",Shwekey,,https://www.youtube.com/watch?v=3Em9oLEP5EM
"Im Hayu, Mesikus Hatorah",,"אִם הָיוּ בְּנֵי אָדָם מַרְגִּישִׁים<br>
בִּמְתִיקוּת וַעֲרֵיבוּת טוּב הַתּוֹרָה<br>
הָיוּ, הָיוּ מִשְׁתַּגְּעִים - וּמִתְלַהֲטִים אַחֲרֶיהָ<br>
וְלֹא יֵחָשֵׁב בְּעֵינֵיהֶם, מְלוֹא עוֹלָם<br>
כֶּסֶף וְזָהָב, לִמְאוּמָה<br>
כִּי הַתּוֹרָה כּוֹלֶלֶת כָּל הַטּוֹבוֹת שֶׁבָּעוֹלָם<br>",Yisroel Werdyger,,https://www.youtube.com/watch?v=BYevuiqL9QI
Ana Bikoach,,"אָנָּא בְּכֹחַ גְּדֻלַּת יְמִינְךָ תַּתִּיר צְרוּרָה<br>
קַבֵּל רִנַּת עַמְּךָ  שַׂגְּבֵנוּ טַהֲרֵנוּ נוֹרָא<br>",,,x
Ana Avdah,,"אֲנָא עַבְדָּא ,דְקֻדְשָׁא בְּרִיךְ הוּא",,,https://www.youtube.com/watch?v=z4e8FQhv1TM
Ana Hashem,,"אָנָּה ה', כִּי-אֲנִי עַבְדֶּךָ אֲנִי-עַבְדְּךָ,<br> 
בֶּן-אֲמָתֶךָ; פִּתַּחְתָּ, לְמוֹסֵרָי",,,https://www.youtube.com/watch?v=g-sTY08ORU4&pp=ygUVYW5hIGhhc2hlbSBjYXJsZWJhY2gg
"Ani Yishaina, Pischi Li",,"אֲנִי יְשֵׁנָה וְלִבִּי עֵר קוֹל  דּוֹדִי דוֹפֵק<br>
פִּתְחִי־לִי אֲחֹתִי רַעְיָתִי יוֹנָתִי תַמָּתִי",,,https://youtu.be/YZJQ3rZ-TQs
Ani Maamin,,"אֲנִי מַאֲמִין בֶּאֱמוּנָה שְׁלֵמָה<br>
בְּבִיאַת הַמָּשִׁיחַ וְאַף עַל פִּי שֶׁיִּתְמַהְמֵהַּ<br>
עִם כָּל זֶה אֲחַכֶּה לּוֹ בְּכָל יוֹם שֶׁיָּבוֹא",,,"https://youtu.be/Y3gSOBfIvLA, https://youtu.be/igcAmD8kuOI,"
Ani Maamin,,"אֲנִי מַאֲמִין בֶּאֱמוּנָה שְׁלֵמָה <br>
שֶׁהַבּוֹרֵא יִתְבָּרַךְ שְׁמוֹ <br>
הוּא בוֹרֵא וּמַנְהִיג לְכָל הַבְּרוּאִים <br>
וְהוּא לְבַדּוֹ עָשָׂה וְעוֹשֶׂה וְיַעֲשֶׂה<br>
 לְכָל הַמַּעֲשִׂים ",,,https://www.youtube.com/watch?v=YztAoobKUwU&t=1s
Ekrah,,"אֶקְרָא לֵאלֹקים עֶלְיוֹן<br>
לָאֵל גֹּמֵר עָלָי <br>
יִשְׁלַח מִשָּׁמַיִם וְיוֹשִׁיעֵנִי<br>
חֵרֵף שֹׁאֲפִי סֶלָה ",Shalsheles,,https://www.youtube.com/watch?v=_I0z_IHzIdI
Esa Einai,,"אֶשָּׂא עֵינַי, אֶל-הֶהָרִים, מֵאַיִן יָבֹא עֶזְרִי <br>
עֶזְרִי מֵעִם ה' עֹשֵׂה שָׁמַיִם וָאָרֶץ <br>
הִנֵּה לֹא יָנוּם, וְלֹא יִישָׁן שׁוֹמֵר יִשְׂרָאֵל",,,https://www.youtube.com/watch?v=IGnfwtlqZ2M&pp=ygUJZXNhIGVpbmFp
Es Tzemach,,"אֶת־צֶֽמַח דָּוִד עַבְדְּךָ מְהֵרָה תַצְמִֽיחַ<br>
וְקַרְנוֹ תָּרוּם בִּישׁוּעָתֶֽךָ<br>
כִּי לִישׁוּעָתְךָ קִוִּֽינוּ כָּל הַיּוֹם",,,https://youtu.be/wMaHcF0Me7c
"Atoh Horaisa, Ayn Kamocha",,"אַתָּה הָרְאֵתָ לָדַעַת, כִּי ה' הוּא הָאֱלֹקִים <br>
אֵין כָּמוֹךָ בָאֱלֹקִים הַ׳ <br>
וְאֵין כְּמַעֲשֶׂיךָ אֵין עוֹד מִלְּבַדּוֹ",,,https://youtu.be/JA1wESz6iBg?t=48
Bilvovi,,"בִּלְבָבִי מִשְׁכָּן אֶבְנֶה לַהֲדַר כְּבוֹדוֹ<br>
וּלמִּשְׁכָּן מִזְבֵּֽחַ אָשִׂים לְקַרְנֵי הוֹדוֹ<br>
וּלְנֵר תָּמִיד אֶקַּח לִי אֶת–אֵשׁ הָעֲקֵידָה<br>
וּלְקָרְבָּן אַקְרִיב לוֹ אֶת נַפְשִי הַיְחִידָה",,,https://youtu.be/VMftk982Epo
Baavur Avoseinu,,"בַּעֲבוּר אֲבוֹתֵינוּ שֶׁבָּטְחוּ בְךָ<br>
וַתְּלַמְּדֵם חֻקֵּי חַיִּים כֵּן תְּחָנֵּנוּ וּתְלַמְּדֵנוּ<br>
וְתֵן בְּלִבֵּנוּ לְהָבִין לִלְמוֹד וּלְלַמֵּד בְּאַהֲבָה ",,,https://youtu.be/7dFGoSctbyg
Bsheim Hashem,,"בְּשֵׁם הַשֵּׁם אֱלֹקי יִשְׂרָאֵל<br>
מִימִינִי מִיכָאֵל וּמִשְּׂמֹאלִי גַּבְרִיאֵל<br>
וּמִלְּפָנַי אוּרִיאֵל וּמֵאֲחוֹרַי רְפָאֵל <br>
רֹאשִׁי שְׁכִינַת אֵ-ל<br>
לֹא תִירָא  מִפַּחַד לָיְלָה מֵחֵץ יָעוּף יוֹמָם",,, https://youtu.be/85SN4K8NdmM
"Bshoh, Anovim",,"בְּשָׁעָה שֶׁמֶּלֶךְ הַמָּשִׁיחַ בָּא<br>
עוֹמֵד עַל גַּג בֵּית הַמִּקְדָּשׁ<br>
וּמַשְׁמִיעַ לְיִשְׂרָאֵל וְאוֹמֵר<br>
עֲנָוִים עֲנָוִים הִגִּיעַ זְמַן גְּאֻלַּתְכֶם <br>
וְאֵם אֵין אַתֶּם מַאֲמִינִים<br>
רָאוּ בְּאוֹרִי שֶׁזּוֹרֵחַ<br>",,,"https://www.youtube.com/watch?v=nb8MkUtdrpo, https://youtu.be/5v4kyAeL6eo,"
Gam Ki Eilech,,"גַּם כִּי-אֵלֵךְ בְּגֵיא צַלְמָוֶת<br>
לֹא אִירָא רָע כִּי-אַתָּה עִמָּדִ<br>
שִׁבְטְךָ וּמִשְׁעַנְתֶּךָ הֵמָּה יְנַחֲמֻנִי",,,https://youtu.be/fD7yBFImhX4?t=51
Habein Yakir Li,,"הֲבֵן יַקִּיר לִי אֶפְרַיִם אִם יֶלֶד שַׁעֲשׁוּעִים<br>
כִּי מִדֵּי דַבְּרִי בּו זָכר אֶזְכְּרֶנּוּ עוֹד <br>
עַל כֵּן הָמוּ מֵעַי לו רַחֵם אֲרַחֲמֶנּוּ נְאֻם ה",,,https://youtu.be/OlJFy5C0MKI?t=27
Habeit,,"הַבֵּט מִשָּׁמַֽיִם וּרְאֵה<br>
כִּי הָיִֽינוּ לַֽעַג וָקֶֽלֶס בַּגּוֹיִם<br>
נֶחְשַֽׁבְנוּ כַּצֹּאן לָטֶֽבַח יוּבָל<br>
לַהֲרוֹג וּלְאַבֵּד וּלְמַכָּה וּלְחֶרְפָּה<br>
וּבְכָל־זֹאת שִׁמְךָ לֺא שָׁכָֽחְנוּ<br>
נָא אַל־תִּשְׁכָּחֵֽנוּ: ",,,https://www.youtube.com/watch?v=3sko0Hw6gYY
Higoleh Na,,"הִגָלֵה נָא וּפְרש חָבִיבי עָלַי <br>
אֶת סֻכַת שְלומָךְ",,,https://youtu.be/CJd2-pAUso8
Heimah,,"הֵמָּה כָּרְעוּ וְנָפָלוּ וַאֲנַחְנוּ קַּמְנוּ וַנִּתְעוֹדָֽד<br>
הַ׳ הוֹשִׁיעָה הַמֶּלֶךְ יַעֲנֵנוּ בְיוֹם־קרְאֵנוּ",,,https://www.youtube.com/watch?v=Y_jY2hqPeHw&
Hamalach,,"הַמַּלְאָךְ הַגֹּאֵל אֹתִי מִכָּל-רָע<br>
יְבָרֵךְ אֶת-הַנְּעָרִים וְיִקָּרֵא בָהֶם שְׁמִי<br> 
וְשֵׁם אֲבֹתַי אַבְרָהָם וְיִצְחָק <br>
וְיִדְגּוּ לָרֹב בְּקֶרֶב הָאָרֶץ",,,https://youtu.be/Y_jY2hqPeHw
Hishbati,,"הִשְׁבַּעְתִּי אֶתְכֶם בְּנוֹת יְרוּשָׁלָםִ <br>
אִם תִּמְצְאוּ אֶת דּוֹדִי מַה תַּגִּידוּ לוֹ<br>
שֶׁחוֹלַת אַהֲבָה אָנִי",,,https://www.youtube.com/watch?v=CXiIJ8IZNKI
Vaani Bechasdecha,,"וַאֲנִי בְּחַסְדְּךָ בָטַחְתִּי יָגֵל לִבִּי בִּֽישׁוּעָתֶךָ <br>
אָשִׁירָה לַֽה' כִּי גָמַל עָלָֽי",,,https://www.youtube.com/watch?v=Dw-FJJOjglE
Veafilu Bihastara,,"וִאַפִילוּ בְּהַסתּוּרָה שֶבְּתוֹךְ הַסתּוּרָה <br>
בְּווַדַאי גַם שוּם נִמצָא הַשֵם יִתבָּרַך.<br>
גַם מֵאַחוֹרֵי הַדבוּריִם הַקוּשִׁים <br>
הוּעוֹברִים עָלֶיךָ - אַנִי עוֹמֵד",,,https://www.youtube.com/watch?v=8Opq1AiZXco&pp=ygURdmVhZmlsdSBiZWhhc3RhcmE%3D
"Veatem Tihyu Li, Mamleches Kohanim",,"וְאַתֶּם תִּהְיוּ־לִי ,מַמְלֶכֶת כֹּהֲנִים וְגוֹי קָדוֹשׁ",,,https://www.youtube.com/watch?v=sssFjqCd3-0&pp=ygURbWFtbGVjaGVzIGtvaGFuaW0%3D
Vhaviosim,,"וַהֲבִיאוֹתִים אֶל-הַר קָדְשִׁי <br>
וְשִׂמַּחְתִּים בְּבֵית תְּפִלָּתִי<br>
עוֹלֹתֵיהֶם וְזִבְחֵיהֶם לְרָצוֹן  עַל-מִזְבְּחִי<br>
כִּי בֵיתִי  בֵּית-תְּפִלָּה יִקָּרֵא לְכָל-הָעַמִּים",,,https://www.youtube.com/watch?v=W1-ZlpSRQ2c
Vhu Keili,,"וְהוּא קֵלִי וְחַי גוֹאֲלִי וְצוּר חֶבְלִי בְּעֵת צָרָה <br>
וְהוּא נִסִּי וּמָנוֹס לִי מְנָת כּוֹסִי בְּיוֹם אֶקְרָא <br>
בְּיָדוֹ אַפְקִיד רוּחִי בְּעֵת אִישָׁן וְאָעִירָה<br>
וְעִם רוּחִי גְּוִיָּתִי הַ’ לִי  וְלֹא אִירָא",Baruch Levine,,https://youtu.be/YyZvtxPcadk
